favorite_color,excitement,seat_comfort,ucsd_year,ucsd_major,credits,hr_physical,hr_online,hr_reading,sex
Grey,Very excited,Meh,2,Engineering,16,4,2,3,M
Blue,Not at all excited,Meh,3,Data Science,12,0,3,4,M
Purple,Slightly excited,Meh,3,Physical Sciences,16,2,0,6,M
Pink,Very excited,Meh,3,Engineering,14,3,1,1,F
green,Very excited,Meh,2,Physical Sciences,16 as of now; maybe 18 soon enough,less than 1,2-3,1-2,M
Green,Slightly excited,Meh,2,Data Science,16,1,1,3,F
Blue,Very excited,Meh,1,Engineering,20,0,2,6,F
purple,Slightly excited,Bad,2,Biological Sciences,20,0,0.5,7,F
Blue,Very excited,Pretty good,2,Data Science,16,1,2,1,M
Blue,Very excited,Meh,3,Engineering,14,1,1,2,M
Blue,Very excited,Pretty good,3,Engineering,20,2,1,2,M
purple,Slightly excited,Meh,4,Engineering,13,8,10,10,F
Purple,Slightly excited,Meh,3,Data Science,16,1,1,5,F
Green,Slightly excited,Bad,2,Engineering,16,0,10,15,M
Blue,Slightly excited,Meh,3,Engineering,14,.5,1,2,M
Orange,Very excited,Meh,3,Data Science,16,0,0,"2 hours, 30 minutes",F
Orange,Super stoked,Awful,2,Engineering,26,1,2,2,M
pink,Very excited,Meh,2,Engineering,16,0,0,4,F
Blue,Super stoked,Meh,3,Engineering,12,3,2,2,M
Black,Not at all excited,Meh,3,Data Science,16,0.5,1,5,M
Blue,Slightly excited,Meh,2,Engineering,16,2,3,5,M
pink,Slightly excited,Meh,4,Social Sciences,12,0-1,1,2,F
Green,Slightly excited,Meh,3,Engineering,18,.5,.5,1,F
green,Super stoked,Meh,3,Engineering,12,0,.5,0,M
Blue,Slightly excited,Meh,2,Data Science,16,2,2,4,F
Blue,Very excited,Meh,3,Engineering,18,3,0,1,M
Blue,Slightly excited,Meh,2,Physical Sciences,16,0,2,10,F
Blue,Not at all excited,Meh,2,Engineering,16,0,2,10,M
Blue,Super stoked,Pretty good,4,Social Sciences,22,2,1,2,M
BLACK,Slightly excited,Meh,4,Social Sciences,16,30 MINUTES - 1 HOUR,50 MINUTES,4,F
Blue,Very excited,Meh,3,Physical Sciences,20,1,1,3,NA
Blue,Not at all excited,Awful,3,Data Science,12,0,2,4,F
Green,Slightly excited,Bad,3,Social Sciences,20,1-2,2-3,5-6,M
Blue,Super stoked,Pretty good,2,Engineering,16,1,3,3,M
Purple,Very excited,Pretty good,3,Physical Sciences,12,2,1,2,F
green,Very excited,Pretty good,1,Engineering,14,3,1,2,F
Blue,Very excited,Meh,3,Physical Sciences,20,0,0,6,F
Dark blue,Very excited,Pretty good,3,Engineering,18,2,2,2,M
lavender,Slightly excited,Meh,3,Engineering,20,1,0,3,F
Blue,Slightly excited,Bad,1,Data Science,20,1,1,8,F
Green,Very excited,Pretty good,3,Engineering,18,0,1,5,M
Blue,Slightly excited,Meh,3,Engineering,20,0,2,4,M
red,Very excited,Pretty good,1,Data Science,12 or 14. I don't really remember,3 to 4,2,0.5,F
Blue,Slightly excited,Meh,1,Engineering,I am taking 12 units this quarter.,I spend an hour a day reading a physical book.,I spend half an hour a day doing physical activities.,I spend three hours a day on social media.,M
Green,Slightly excited,Meh,2,Engineering,18,0.5,1,1,M
purple,Very excited,Bad,4,Data Science,12,1,1,5,M
Black,Super stoked,Awful,2,Engineering,20,0,1.5,7,M
Black,Slightly excited,Bad,2,Engineering,14,1,2,6,M
Black,Very excited,Awful,3,Engineering,18,3,2,0,M
Blue,Very excited,Pretty good,3,Data Science,16,0.5,1,3,F
purple,Very excited,Awful,2,Engineering,12,0-2,30 mins ish,1-2,M
Red,Super stoked,Meh,3,Data Science,16,8,1,4,M
Blue,Slightly excited,Awful,4,Engineering,16,1,1,5,M
Black,Slightly excited,Meh,3,Engineering,18,0,2-3,1-2,M
Orange,Slightly excited,Meh,3,Engineering,12,0,1,1,M
navy blue,Slightly excited,Meh,2,Engineering,14,.5,2,4,M
Blue,Slightly excited,Bad,4,Physical Sciences,"16, just to mention, my major is mathematics, I am not sure whether it belongs to Physical Science or not, but I think this is the closest one",0,0.5-1,1,M
Green,Slightly excited,Meh,3,Engineering,14,2,3,6,M
red,Slightly excited,Meh,3,Physical Sciences,12,.25,3,1,M
Purple,Very excited,Pretty good,2,Data Science,17,2-3,2,4,F
